RunID,1,2,3
778,16,4,1
779,20,2,12
780,20,5,9
781,14,3,9
782,19,4,5
783,3,4,0
784,8,4,0
785,6,0,1
786,3,0,7
787,6,1,0
788,9,5,10
789,3,4,20
790,13,4,4
791,12,7,0
792,18,6,7
793,4,1,1
795,17,6,11
796,0,1,0
797,12,7,13
799,8,2,11
800,1,0,0
801,14,8,1
802,5,3,1
803,7,2,0
804,22,7,3
805,5,0,0
806,3,1,0
807,3,0,5
808,5,2,8
809,2,0,0
810,7,2,1
811,6,3,6
812,4,0,0
813,9,5,5
814,1,0,1
815,4,0,0
816,8,1,0
817,14,2,1
818,9,6,7
823,1,0,9
824,1,1,9
825,11,2,2
826,6,1,1
827,4,4,3
828,4,6,2
829,3,2,16
830,1,1,15
831,6,1,5
832,1,2,24
833,5,3,7
834,4,4,12
835,9,9,9
836,6,4,3
837,6,1,5
838,6,1,0
839,1,0,0
840,2,3,2
841,8,3,0
842,0,1,4
843,7,3,1
844,5,5,6
845,0,0,0
846,12,3,0
847,7,0,0
848,5,4,8
849,4,0,0
850,2,2,5
851,6,0,0
852,6,5,12
853,6,7,11
854,5,2,4
855,1,3,6
856,4,6,7
857,2,3,0
858,4,3,4
859,2,0,0
860,5,6,7
861,8,6,1
862,12,1,5
863,13,5,4
864,4,4,1
865,2,2,6
866,2,1,2
867,8,4,2
868,1,2,4
869,13,1,5
870,2,0,2
871,2,5,4
872,6,0,0
873,8,2,1
874,2,1,3
875,3,5,4
876,3,1,0
877,0,4,7
879,3,1,1
880,1,2,7
881,0,0,1
882,3,0,1
883,1,3,2
884,4,8,8
885,2,0,0
886,3,3,7
887,2,2,16
888,8,1,0
889,3,2,6
890,5,2,8
892,6,2,2
893,3,3,1
894,0,0,0
896,5,2,8
